# Duplicates found in Ground Truth data
# Generated by evaluation.ipynbhttps://www.uni-due.de/person/56085 	&#350;enay Aslan Y&#305;lmaz
https://www.uni-due.de/person/3231  	Christiane Leuchtenberger
https://www.uni-due.de/person/11402 	Christiane Leuchtenberger
https://www.uni-due.de/person/61766 	Christiane Thiemann
https://www.uni-due.de/person/58572 	Christiane Thiemann
https://www.uni-due.de/person/11782 	Christoph Löhrmann
https://www.uni-due.de/person/61049 	Christoph Löhrmann
https://www.uni-due.de/person/48468 	Claudia Schmitz
https://www.uni-due.de/person/60757 	Claudia Schmitz
https://www.uni-due.de/person/60751 	Claudia Schmitz
https://www.uni-due.de/person/46976 	Claudio Lavorgna
https://www.uni-due.de/person/11909 	Claudio Lavorgna
https://www.uni-due.de/person/56059 	Czock, Dr.
https://www.uni-due.de/person/57168 	Czock, Dr.
https://www.uni-due.de/person/56072 	Czock, Dr.
https://www.uni-due.de/person/56071 	Czock, Dr.
https://www.uni-due.de/person/55587 	Czock, Dr.
https://www.uni-due.de/person/55995 	Czock, Dr.
https://www.uni-due.de/person/55586 	Czock, Dr.
https://www.uni-due.de/person/56063 	Czock, Dr.
https://www.uni-due.de/person/56057 	Czock, Dr.
https://www.uni-due.de/person/57198 	Czock, Dr.
https://www.uni-due.de/person/56062 	Czock, Dr.
https://www.uni-due.de/person/56060 	Czock, Dr.
https://www.uni-due.de/person/56058 	Czock, Dr.
https://www.uni-due.de/person/56056 	Czock, Dr.
https://www.uni-due.de/person/56064 	Czock, Dr.
https://www.uni-due.de/person/56769 	Czock, Dr.
https://www.uni-due.de/person/57167 	Czock, Dr.
https://www.uni-due.de/person/56620 	Czock, Dr.
https://www.uni-due.de/person/56576 	Czock, Dr.
https://www.uni-due.de/person/56188 	Czock, Dr.
https://www.uni-due.de/person/56615 	Czock, Dr.
https://www.uni-due.de/person/56614 	Czock, Dr.
https://www.uni-due.de/person/56574 	Czock, Dr.
https://www.uni-due.de/person/56573 	Czock, Dr.
https://www.uni-due.de/person/56575 	Czock, Dr.
https://www.uni-due.de/person/56707 	Czock, Dr.
https://www.uni-due.de/person/56737 	Czock, Dr.
https://www.uni-due.de/person/55891 	Czock, Dr.
https://www.uni-due.de/person/56768 	Czock, Dr.
https://www.uni-due.de/person/56577 	Czock, Dr.
https://www.uni-due.de/person/56616 	Czock, Dr.
https://www.uni-due.de/person/53534 	Deane B.A., MSc.
https://www.uni-due.de/person/53530 	Deane B.A., MSc.
